code,type,name,priority,year
37 01 01,sub-program,,,2012
37 01 01,sub-program,,,2012
37 01 01,sub-program,,,2012
37 01 01,sub-program,,,2012
37 01 01,sub-program,,,2012
37 01 01,sub-program,,,2012
37 01 01,sub-program,სოფლის მეურნეობის განვითარების პოლიტიკის შემუშავება და მართვა,10,2012
37 01 01,sub-program,სასოფლო სამეურნეო ტექნიკის განახლება,,2012
37 01 01,sub-program,სასოფლო სამეურნეო წარმოების ინტენსიფიკაცია,,2012
37 01 01,sub-program,სამელიორაციო სისტემების მოდერნიზაცია,,2012
37 01 01,sub-program,ქართული აგროსასურსათო პროდუქციის ღვინისა და სამზარეულოს პოპულარიზაცია,,2012
37 01 01,sub-program,თანამედროვე ტექნოლოგიების პოპულარიზაცია,,2012
37 01 01,sub-program,რეგიონებში სასოფლო სამეურნეო დანიშნულების სავარგულების ათვისების ხელშეწყობა,,2012
